Ip,Throughput
172.217.20.132,1.191
172.217.20.133,1.102
172.217.20.134,1.1
172.217.20.135,1.021
172.217.20.136,1.07
172.217.20.137,1.137
172.217.20.138,1.044
172.217.20.139,1.119
172.217.20.141,1.042
172.217.20.142,1.058
172.217.20.143,1.199
172.217.20.145,0.808
172.217.20.146,1.035
172.217.20.149,1.091
172.217.20.150,1.143
172.217.20.151,1.164
172.217.20.152,1.048
172.217.20.153,0.962
172.217.20.154,1.041
172.217.20.155,1.066
172.217.20.156,1.236
172.217.20.157,1.097
172.217.20.158,1.08
172.217.20.159,0.843
172.217.20.160,0.838
172.217.20.161,0.841
172.217.20.162,0.823
172.217.20.163,0.842
172.217.20.164,0.836
172.217.20.165,0.909
172.217.20.166,0.895
172.217.20.167,0.832
172.217.20.168,0.843
172.217.20.169,0.806
172.217.20.170,0.857
172.217.20.171,0.85
172.217.20.173,0.825
172.217.20.174,0.804
172.217.20.175,0.822
172.217.20.177,0.584
172.217.20.178,0.812
172.217.20.181,0.762
172.217.20.182,0.839
172.217.20.183,0.718
172.217.20.184,0.811
172.217.20.185,0.856
172.217.20.186,0.841
172.217.20.187,0.833
172.217.20.188,0.855
172.217.20.189,0.815
172.217.20.190,0.843
172.217.20.191,0.845
172.217.20.192,0.617
172.217.20.193,0.821
172.217.20.194,0.842
172.217.20.195,0.846
172.217.20.196,0.802
172.217.20.197,0.796
172.217.20.198,0.858
172.217.20.199,0.82
172.217.20.200,0.848
172.217.20.201,0.864
172.217.20.202,0.865
172.217.20.203,0.876
172.217.20.205,0.83
172.217.20.206,0.856
172.217.20.207,0.771
172.217.20.209,0.536
172.217.20.210,0.865
172.217.20.213,0.754
172.217.20.214,0.859
172.217.20.215,0.835
172.217.20.216,0.875
172.217.20.217,0.878
172.217.20.218,0.823
172.217.20.219,0.754
172.217.20.220,0.933
172.217.20.221,0.767
172.217.20.222,0.856
172.217.20.223,0.859
172.217.20.224,0.855
172.217.20.225,0.9
172.217.20.226,0.918
172.217.20.227,0.95
172.217.20.228,0.87
172.217.20.229,0.833
172.217.20.230,0.886
172.217.20.231,0.925
172.217.20.232,0.877
172.217.20.233,0.931
172.217.20.234,0.81
172.217.20.235,0.885
172.217.20.237,0.881
172.217.20.238,0.917
172.217.20.239,0.975
172.217.20.241,0.614
172.217.20.242,0.87
172.217.20.245,0.829
172.217.20.246,0.818
172.217.20.247,0.696
172.217.20.248,0.779
172.217.20.249,0.926
172.217.20.250,1.042
172.217.20.251,0.904
172.217.20.252,0.916
172.217.20.253,1.013
172.217.20.254,0.904
13.82.28.10,0.004
13.82.28.64,0.085
13.82.28.100,0.004
13.82.28.109,0
13.82.28.152,0.021
13.82.28.153,0.037
13.82.28.166,0.004
13.82.28.168,0.078
13.82.28.186,0.028
13.82.28.251,0.003
182.22.59.184,0.097
182.22.59.247,0.095
123.126.55.51,0.002
123.126.55.78,0
123.126.55.83,0
123.126.55.87,0
123.126.55.124,0
35.173.167.39,0.002
35.173.167.74,0.041
35.173.167.101,0.238
35.173.167.137,0.081
35.173.167.146,0
35.173.167.174,0.075
35.173.167.230,0.118
36.51.254.41,0
36.51.254.46,0
36.51.254.83,0.001
36.51.254.223,0.029
36.51.254.225,0.034
36.51.254.231,0.033
36.51.254.232,0
36.51.254.233,0.001
36.51.254.236,0.079
36.51.254.240,0
36.51.254.245,0
36.51.254.246,0
36.51.254.247,0
36.51.254.248,0
36.51.254.250,0.033
216.58.206.1,0.861
216.58.206.2,0.949
216.58.206.3,0.953
216.58.206.4,0.956
216.58.206.5,1.007
216.58.206.6,0.921
216.58.206.7,1.066
216.58.206.8,1.022
216.58.206.9,0.852
216.58.206.10,1.189
216.58.206.11,1.053
216.58.206.13,0.937
216.58.206.14,0.967
216.58.206.15,1.021
216.58.206.17,0.823
216.58.206.18,0.958
216.58.206.21,1.008
216.58.206.22,0.928
216.58.206.23,1.044
216.58.206.24,0.926
216.58.206.25,1.029
216.58.206.26,0.978
216.58.206.27,0.881
216.58.206.28,1.121
216.58.206.29,0.984
216.58.206.30,1.02
216.58.206.31,1.073
216.58.206.32,0.838
216.58.206.33,0.911
216.58.206.34,0.925
216.58.206.35,0.91
216.58.206.36,0.962
216.58.206.37,1.009
216.58.206.38,0.951
216.58.206.39,0.934
216.58.206.40,0.928
216.58.206.41,0.897
216.58.206.42,0.968
216.58.206.43,0.866
216.58.206.45,0.93
216.58.206.46,0.937
216.58.206.47,0.904
216.58.206.49,0.587
216.58.206.50,0.88
216.58.206.53,0.92
216.58.206.54,0.957
216.58.206.55,0.934
216.58.206.56,0.846
216.58.206.57,0.803
216.58.206.58,0.64
216.58.206.59,0.846
216.58.206.60,0.874
216.58.206.61,0.962
216.58.206.62,0.88
216.58.206.63,0.915
216.58.206.64,0.948
216.58.206.65,0.895
216.58.206.66,0.939
216.58.206.67,0.949
216.58.206.68,0.969
216.58.206.69,0.878
216.58.206.70,0.9
216.58.206.71,0.878
216.58.206.72,0.47
216.58.206.73,0.862
216.58.206.74,0.877
216.58.206.75,0.846
216.58.206.77,0.974
216.58.206.78,0.926
216.58.206.79,0.917
216.58.206.81,0.572
216.58.206.82,0.819
216.58.206.85,0.912
216.58.206.86,0.975
216.58.206.87,0.931
216.58.206.88,0.862
216.58.206.89,0.955
216.58.206.90,0.871
216.58.206.91,0.972
216.58.206.92,0.911
216.58.206.93,1.015
216.58.206.94,0.896
216.58.206.95,0.837
216.58.206.96,1.074
216.58.206.97,1.167
216.58.206.98,1.378
216.58.206.100,1.182
216.58.206.101,0.946
216.58.206.102,1.125
216.58.206.103,1.065
216.58.206.104,1.168
216.58.206.105,1.086
216.58.206.106,0.962
216.58.206.107,1.136
216.58.206.109,1.098
216.58.206.110,1.382
216.58.206.111,1.197
216.58.206.113,0.975
216.58.206.114,1.124
216.58.206.117,1.109
216.58.206.118,1.228
216.58.206.119,1.518
216.58.206.120,1.088
216.58.206.121,1.079
216.58.206.122,1.007
216.58.206.123,1.22
216.58.206.124,1.21
216.58.206.125,1.041
216.58.206.126,1.21
216.58.206.127,1.092
216.58.206.128,1.079
216.58.206.129,1.115
216.58.206.130,1.208
216.58.206.132,1.175
216.58.206.133,1.2
216.58.206.134,1.455
216.58.206.135,1.138
216.58.206.136,1.285
